file	code	lang	family	country
nop-nop.txt	nop	Numanggang	Trans-New Guinea	Papua New Guinea
not-notNT.txt	not	Nomatsigenga	Maipurean	Peru
nou-nou.txt	nou	Ewage-Notu	Trans-New Guinea	Papua New Guinea
npi-npiulb.txt	npi	Nepali	Indo-European	Nepal
npl-nplNT.txt	npl	Nahuatl, Southeastern Puebla	Uto-Aztecan	Mexico
nsn-nsn.txt	nsn	Nehan	Austronesian	Papua New Guinea
nss-nss.txt	nss	Nali	Austronesian	Papua New Guinea
ntj-ntj.txt	ntj	Ngaanyatjarra	Australian	Australia
ntp-ntpNT.txt	ntp	Tepehuan, Northern	Uto-Aztecan	Mexico
ntu-ntu.txt	ntu	Natügu	Austronesian	Solomon Islands
nuy-nuy.txt	nuy	Nunggubuyu	Australian	Australia
nvm-nvm.txt	nvm	Namiae	Trans-New Guinea	Papua New Guinea
nwi-nwi.txt	nwi	Tanna, Southwest	Austronesian	Vanuatu
nya-nya.txt	nya	Chichewa	Niger-Congo	Malawi
nys-nys.txt	nys	Nyungar	Australian	Australia
nyu-nyu.txt	nyu	Nyungwe	Niger-Congo	Mozambique
obo-oboNT.txt	obo	Manobo, Obo	Austronesian	Philippines
okv-okv.txt	okv	Orokaiva	Trans-New Guinea	Papua New Guinea
okv-okvh.txt	okv	Orokaiva	Trans-New Guinea	Papua New Guinea
omw-omw-a.txt	omw	Tairora, South	Trans-New Guinea	Papua New Guinea
omw-omw-v.txt	omw	Tairora, South	Trans-New Guinea	Papua New Guinea
omw-omw.txt	omw	Tairora, South	Trans-New Guinea	Papua New Guinea
ong-ong.txt	ong	Olo	Torricelli	Papua New Guinea
ons-ons.txt	ons	Ono	Trans-New Guinea	Papua New Guinea
ood-oodNT.txt	ood	Tohono O’odham	Uto-Aztecan	United States
opm-opm.txt	opm	Oksapmin	Trans-New Guinea	Papua New Guinea
ory-ory.txt	ory	Odia	Indo-European	India
ote-oteNT.txt	ote	Otomi, Mezquital	Otomanguean	Mexico
otm-otmNT.txt	otm	Otomi, Eastern Highland	Otomanguean	Mexico
otn-otnNT.txt	otn	Otomi, Tenango	Otomanguean	Mexico
otq-otqNT.txt	otq	Otomi, Querétaro	Otomanguean	Mexico
ots-otsNT.txt	ots	Otomí, Estado de México	Otomanguean	Mexico
pab-pabNT.txt	pab	Parecís	Maipurean	Brazil
pad-padNT.txt	pad	Paumarí	Arauan	Brazil
pah-pahNT.txt	pah	Tenharim	Tupian	Brazil
pan-pan.txt	pan	Punjabi, Eastern	Indo-European	India
pao-paoNT.txt	pao	Paiute, Northern	Uto-Aztecan	United States
pes-pesOPV.txt	pes	Persian, Iranian	Indo-European	Iran, Islamic Republic of
pib-pibNT.txt	pib	Yine	Maipurean	Peru
pio-pioNT.txt	pio	Piapoco	Maipurean	Colombia
pir-pirNT.txt	pir	Piratapuyo	Tucanoan	Brazil
piu-piu2006.txt	piu	Pintupi-Luritja	Australian	Australia
pjt-pjt.txt	pjt	Pitjantjatjara	Australian	Australia
pls-plsNT.txt	pls	Popoloca, San Marcos Tlacoyalco	Otomanguean	Mexico
plu-plu.txt	plu	Palikúr	Maipurean	Brazil
pma-pma.txt	pma	Paama	Austronesian	Vanuatu
poe-poeNT.txt	poe	Popoloca, San Juan Atzingo	Otomanguean	Mexico
poh-pohNT.txt	poh	Poqomchi’	Mayan	Guatemala
poi-poiNT.txt	poi	Popoluca, Highland	Mixe-Zoquean	Mexico
pol-polsz.txt	pol	Polish	Indo-European	Poland
pol-polubg.txt	pol	Polish	Indo-European	Poland
pon-pon-pdn.txt	pon	Pohnpeian	Austronesian	Micronesia, Federated States of
pon-pon.txt	pon	Pohnpeian	Austronesian	Micronesia, Federated States of
pon-pon2006.txt	pon	Pohnpeian	Austronesian	Micronesia, Federated States of
pon-pon2006a.txt	pon	Pohnpeian	Austronesian	Micronesia, Federated States of
por-porblt.txt	por	Portuguese	Indo-European	Portugal
por-porbr2018.txt	por	Portuguese	Indo-European	Portugal
por-porbrbsl.txt	por	Portuguese	Indo-European	Portugal
por-portft.txt	por	Portuguese	Indo-European	Portugal
poy-poy.txt	poy	Pogolo	Niger-Congo	Tanzania, United Republic of
ppo-ppo.txt	ppo	Folopa	Trans-New Guinea	Papua New Guinea
prf-prfNT.txt	prf	Paranan	Austronesian	Philippines
pri-priNT.txt	pri	Paicî	Austronesian	New Caledonia
ptp-ptp.txt	ptp	Patep	Austronesian	Papua New Guinea
ptu-ptu.txt	ptu	Bambam	Austronesian	Indonesia
pwg-pwg.txt	pwg	Gapapaiwa	Austronesian	Papua New Guinea
qub-qub.txt	qub	Quechua, Huallaga	Quechuan	Peru
quc-qucNNT.txt	quc	K’iche’	Mayan	Guatemala
quc-qucTNT.txt	quc	K’iche’	Mayan	Guatemala
quf-qufNT.txt	quf	Quechua, Lambayeque	Quechuan	Peru
